get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
{Benjamin Burkett|name} {job|position},,,,,,,,,,
what is the {employment status|employment_status} of {kelley|name},,,,,,,,,,
What's {julissa hunts|name}s {job title|position},,,,,,,,,,
What is {Ebonee Peterson|name}'s {role|position}?,,,,,,,,,,
What is {Adrienne Homberger|name}'s {position|position}?,,,,,,,,,,
what is the {employment status|employment_status} of {eric dougall|name},,,,,,,,,,
{Jyoti|name} {role|position},,,,,,,,,,
what's the {gender|sex} of {Travis Ozark|name},,,,,,,,,,
what is the {employment status|employment_status} of {Adrienne Homberger|name},,,,,,,,,,
{Constance|name} {role|position},,,,,,,,,,
whats {Megan Faller|name}'s {dept|department}?,,,,,,,,,,
whats {libby|name} {job|position}?,,,,,,,,,,
{jeremiah|name}'s {dept|department},,,,,,,,,,
What's {Alejandro Bacong|name}s {job|position},,,,,,,,,,
whats {Geoff Dickinson|name} {occupation|position}?,,,,,,,,,,
whats {Courtney Wallace|name}'s {dept|department}?,,,,,,,,,,
{state|state} that {Hannah|name} is in,,,,,,,,,,
What's {Nore Sadki|name}s {job title|position},,,,,,,,,,
{position|position} of {alfred|name},,,,,,,,,,
What's {jeremy|name}s {position|position},,,,,,,,,,
{dept|department} of {luisa|name},,,,,,,,,,
{Amy|name} {job title|position},,,,,,,,,,
{department|department} of {Theresa|name},,,,,,,,,,
{Ann Daniele|name} {employment status|employment_status},,,,,,,,,,
whats {Kristen Squatrito|name}'s {dept|department}?,,,,,,,,,,
{Nader Barton|name}'s {race|racedesc},,,,,,,,,,
{state|state} of {clinton owad|name},,,,,,,,,,
what's the {sex|sex} of {eric dougall|name},,,,,,,,,,
{lenora tejeda|name} {employment status|employment_status},,,,,,,,,,
{occupation|position} of {Melisa Gerke|name},,,,,,,,,,
{Lauren|name}'s {status of employment|employment_status},,,,,,,,,,
{bartholemew|name} {role|position},,,,,,,,,,
What's {anthony cisco|name}s {job|position},,,,,,,,,,
{Jeremy Prater|name}'s {race|racedesc},,,,,,,,,,
{josephine bugali|name} {employment status|employment_status},,,,,,,,,,
{mei trang|name}'s {occupation|position},,,,,,,,,,
what's {Thelma|name}s {dept|department},,,,,,,,,,
What is {Ming|name}'s {job|position}?,,,,,,,,,,
whats {yen johnston|name} {race|racedesc}?,,,,,,,,,,
{joanne|name} {state|state},,,,,,,,,,
whats {Marilyn Linares|name}'s {department|department}?,,,,,,,,,,
what is {Kimberly Beak|name}'s {department|department}?,,,,,,,,,,
{gender|sex} that {Rosalie Hutter|name} is,,,,,,,,,,
{Quinn|name} {state|state},,,,,,,,,,
{status of employment|employment_status} that {Kathleen|name} is in,,,,,,,,,,
{ermine pelletier|name} {occupation|position},,,,,,,,,,
what {sex|sex} is {april evensen|name}?,,,,,,,,,,
{Phylicia|name} {position|position},,,,,,,,,,
{nina panjwani|name} {sex|sex},,,,,,,,,,
{sandra martin|name} {employment status|employment_status},,,,,,,,,,
whats {cybil trzeciak|name} {race|racedesc}?,,,,,,,,,,
What's {Kristie Nowlan|name}s {role|position},,,,,,,,,,
what is {kelley|name}'s {department|department}?,,,,,,,,,,
{Sean|name} {occupation|position},,,,,,,,,,
What's {Linda Dolan|name}s {role|position},,,,,,,,,,
{department|department} of {rick|name},,,,,,,,,,
whats {joe south|name} {job title|position}?,,,,,,,,,,
What is {Shana|name}'s {job|position}?,,,,,,,,,,
What is {Edward|name}'s {job title|position}?,,,,,,,,,,
what is {Melisa|name}'s {dept|department}?,,,,,,,,,,
What's {Jasmine|name}s {occupation|position},,,,,,,,,,
what's {spencer|name}'s' {gender|sex},,,,,,,,,,
{roxana|name}'s {job|position},,,,,,,,,,
What's {renee|name}s {job|position},,,,,,,,,,
{job title|position} of {Rachael Baczenski|name},,,,,,,,,,
whats {rex|name} {job title|position}?,,,,,,,,,,
what's {jennifer|name}'s' {gender|sex},,,,,,,,,,
{janine purinton|name}'s {occupation|position},,,,,,,,,,
What is {hong|name}'s {job title|position}?,,,,,,,,,,
{status of employment|employment_status} that {Jason Salter|name} is in,,,,,,,,,,
{Ming|name}'s {dept|department},,,,,,,,,,
{Francesco Barone|name} {department|department},,,,,,,,,,
what's {lindsey|name}s {dept|department},,,,,,,,,,
what's {hang wolk|name}'s' {sex|sex},,,,,,,,,,
{Maliki Moumanil|name}'s {race|racedesc},,,,,,,,,,
what is {Maria|name}'s {dept|department}?,,,,,,,,,,
{gender|sex} of {dianna|name},,,,,,,,,,
{Noelle Johnson|name} {role|position},,,,,,,,,,
{state|state} of {shenice|name},,,,,,,,,,
whats {Daniel Davis|name}'s {dept|department}?,,,,,,,,,,
{jene'ya darson|name} {state|state},,,,,,,,,,
What is {Webster|name}'s {job|position}?,,,,,,,,,,
what's {alfred digitale|name}s {dept|department},,,,,,,,,,
{Ludwick Harrell|name} {state|state},,,,,,,,,,
{Claudia|name}'s {department|department},,,,,,,,,,
what {gender|sex} is {Ebonee|name}?,,,,,,,,,,
what's the {sex|sex} of {seffi|name},,,,,,,,,,
whats {April|name} {job|position}?,,,,,,,,,,
{debra|name} {state|state},,,,,,,,,,
{violeta|name}'s {status of employment|employment_status},,,,,,,,,,
what's {Allison Lydon|name}s {department|department},,,,,,,,,,
{shenice|name} {employment status|employment_status},,,,,,,,,,
What's {bianca|name}s {job|position},,,,,,,,,,
what {state|state} is {david stanley|name} from?,,,,,,,,,,
{job|position} of {Jessica Bunbury|name},,,,,,,,,,
{gender|sex} of {adrienne|name},,,,,,,,,,
{job title|position} of {donna brill|name},,,,,,,,,,
whats {Alain|name} {race|racedesc}?,,,,,,,,,,
what is {Lenora|name}'s {dept|department}?,,,,,,,,,,
{Ann|name}'s {job title|position},,,,,,,,,,
{latia|name} {employment status|employment_status},,,,,,,,,,
{sex|sex} that {Enrico|name} is,,,,,,,,,,
What's {carl|name}s {role|position},,,,,,,,,,
{gender|sex} of {lori|name},,,,,,,,,,
{sex|sex} of {alexandra kirill|name},,,,,,,,,,
what's {Whitney Gill|name}'s' {sex|sex},,,,,,,,,,
What is {Alfred Digitale|name}'s {race|racedesc}?,,,,,,,,,,
{kara harrison|name}'s {dept|department},,,,,,,,,,
{Renee|name} {role|position},,,,,,,,,,
{colombui ndzi|name}'s {dept|department},,,,,,,,,,
what is {elijiah gray|name}'s {department|department}?,,,,,,,,,,
whats {nina|name} {job|position}?,,,,,,,,,,
{mike guilianno|name} {department|department},,,,,,,,,,
What's {Jessica Bunbury|name}s {occupation|position},,,,,,,,,,
{donald|name}'s {job|position},,,,,,,,,,
What is {Donysha Kampew|name}'s {job title|position}?,,,,,,,,,,
What's {Brigit|name}s {occupation|position},,,,,,,,,,
{Adrienne Homberger|name} {position|position},,,,,,,,,,
What is {michael|name}'s {position|position}?,,,,,,,,,,
{Michelle|name} {gender|sex},,,,,,,,,,
whats {jason salter|name}'s {dept|department}?,,,,,,,,,,
{position|position} of {karen mancuso|name},,,,,,,,,,
what's {carla|name}'s' {gender|sex},,,,,,,,,,
what's {marianne|name}'s' {gender|sex},,,,,,,,,,
{richard|name}'s {job title|position},,,,,,,,,,
{race|racedesc} of {enrico|name},,,,,,,,,,
what's {betsy bondwell|name}'s {race|racedesc},,,,,,,,,,
{gender|sex} that {Raul Garcia|name} is,,,,,,,,,,
What is {Debra Houlihan|name}'s {occupation|position}?,,,,,,,,,,
{sex|sex} of {Catherine Ybarra|name},,,,,,,,,,
What is {christie harrington|name}'s {job|position}?,,,,,,,,,,
what's {maruk fraval|name}'s {race|racedesc},,,,,,,,,,
{dept|department} of {Judy Jung|name},,,,,,,,,,
what's {Judith|name}'s' {sex|sex},,,,,,,,,,
{job title|position} of {Maria|name},,,,,,,,,,
What is {Angela Erilus|name}'s {position|position}?,,,,,,,,,,
{role|position} of {morissa power|name},,,,,,,,,,
what is {travis|name}'s {department|department}?,,,,,,,,,,
{Thelma Petrowsky|name} {role|position},,,,,,,,,,
What is {Maria|name}'s {race|racedesc}?,,,,,,,,,,
{Tyrone|name}'s {job title|position},,,,,,,,,,
{Maruk Fraval|name}'s {occupation|position},,,,,,,,,,
what's the {sex|sex} of {allison lydon|name},,,,,,,,,,
whats {Bonalyn Boutwell|name} {position|position}?,,,,,,,,,,
{Sandra|name}'s {role|position},,,,,,,,,,
{employment status|employment_status} of {Violeta|name},,,,,,,,,,
{Walter|name}'s {race|racedesc},,,,,,,,,,
whats {roxana|name}'s {dept|department}?,,,,,,,,,,
{Nilson|name}'s {role|position},,,,,,,,,,
{position|position} of {elijian|name},,,,,,,,,,
what's {betsy bondwell|name}s {dept|department},,,,,,,,,,
{Charles|name}'s {status of employment|employment_status},,,,,,,,,,
What's {lenora|name}s {job title|position},,,,,,,,,,
{Kelley|name}'s {status of employment|employment_status},,,,,,,,,,
{job|position} of {Jac|name},,,,,,,,,,
{state|state} of {Tanya Morway|name},,,,,,,,,,
{nicole|name} {dept|department},,,,,,,,,,
whats {Latia Costa|name} {position|position}?,,,,,,,,,,
what {sex|sex} is {Marianne|name}?,,,,,,,,,,
whats {gerry friedman|name} {position|position}?,,,,,,,,,,
{race|racedesc} of {Randall Pearson|name},,,,,,,,,,
What is {donovan chang|name}'s {occupation|position}?,,,,,,,,,,
{gender|sex} of {judy jung|name},,,,,,,,,,
whats {Mathew|name} {job|position}?,,,,,,,,,,
{dept|department} of {Christie|name},,,,,,,,,,
{role|position} of {jacquelyn williams|name},,,,,,,,,,
What's {joseph buccheri|name}s {position|position},,,,,,,,,,
{jumil|name} {sex|sex},,,,,,,,,,
{Morissa Power|name} {gender|sex},,,,,,,,,,
What's {simon roup|name}s {role|position},,,,,,,,,,
what's {morissa power|name}s {dept|department},,,,,,,,,,
{Tyrone|name} {position|position},,,,,,,,,,
{Joelle Burke|name}'s {department|department},,,,,,,,,,
{role|position} of {quinn rarrick|name},,,,,,,,,,
{angela erilus|name}'s {occupation|position},,,,,,,,,,
whats {jeremy|name} {job title|position}?,,,,,,,,,,
{status of employment|employment_status} that {Bruno|name} is in,,,,,,,,,,
whats {sam athwal|name} {job|position}?,,,,,,,,,,
what is {Patrick Moran|name}'s {department|department}?,,,,,,,,,,
{jason salter|name} {department|department},,,,,,,,,,
{state|state} of {phil close|name},,,,,,,,,,
What's {Susan Ferguson|name}s {occupation|position},,,,,,,,,,
{status of employment|employment_status} that {bianca roehrich|name} is in,,,,,,,,,,
What is {Claudia Carr|name}'s {job|position}?,,,,,,,,,,
{state|state} of {Jasmine Onque|name},,,,,,,,,,
What's {Maria Gonzalez|name}s {role|position},,,,,,,,,,
what is the {employment status|employment_status} of {lindsey langford|name},,,,,,,,,,
what's the {sex|sex} of {anna von|name},,,,,,,,,,
{tyrone steans|name} {job|position},,,,,,,,,,
{state|state} of {rose ivey|name},,,,,,,,,,
whats {linda|name}'s {dept|department}?,,,,,,,,,,
{role|position} of {wilson|name},,,,,,,,,,
whats {rachael|name} {occupation|position}?,,,,,,,,,,
{theresa tinto|name} {department|department},,,,,,,,,,
whats {Ketsia|name} {role|position}?,,,,,,,,,,
{eric dougall|name}'s {job|position},,,,,,,,,,
What's {Nan|name}s {job|position},,,,,,,,,,
what's the {gender|sex} of {Catherine|name},,,,,,,,,,
What's {Michael|name}s {occupation|position},,,,,,,,,,
{sandy|name}'s {status of employment|employment_status},,,,,,,,,,
What's {mohammed|name}s {job|position},,,,,,,,,,
{role|position} of {thelma petrowsky|name},,,,,,,,,,
{department|department} of {nina|name},,,,,,,,,,
{gender|sex} that {latia|name} is,,,,,,,,,,
whats {Scott|name} {job|position}?,,,,,,,,,,
{employment status|employment_status} of {Lauren Mahoney|name},,,,,,,,,,
{Ketsia|name} {employment status|employment_status},,,,,,,,,,
what's the {sex|sex} of {shakira perry|name},,,,,,,,,,
{department|department} of {Jayne Horton|name},,,,,,,,,,
What is {Judy Jung|name}'s {role|position}?,,,,,,,,,,
{Bartholemew Khemmich|name} {dept|department},,,,,,,,,,
What is {violeta ferreira|name}'s {role|position}?,,,,,,,,,,
{ivan rogers|name} {state|state},,,,,,,,,,
What is {Judith|name}'s {role|position}?,,,,,,,,,,
What is {ming huynh|name}'s {position|position}?,,,,,,,,,,
whats {Hang Wolk|name} {position|position}?,,,,,,,,,,
What is {kramer|name}'s {position|position}?,,,,,,,,,,
what's {ming|name}'s {race|racedesc},,,,,,,,,,
{gender|sex} of {myriam|name},,,,,,,,,,
What is {lisa galia|name}'s {job|position}?,,,,,,,,,,
whats {Louis Punjabhi|name} {job|position}?,,,,,,,,,,
{job|position} of {lauren mahoney|name},,,,,,,,,,
what's {carol anderson|name}'s {race|racedesc},,,,,,,,,,
{employment status|employment_status} of {Elijiah Gray|name},,,,,,,,,,
{role|position} of {charles bozzi|name},,,,,,,,,,
whats {Michael|name} {job|position}?,,,,,,,,,,
{occupation|position} of {Donald|name},,,,,,,,,,
What is {Judith Carabbio|name}'s {race|racedesc}?,,,,,,,,,,
{enrico langton|name} {employment status|employment_status},,,,,,,,,,
{Maryellen|name}'s {job title|position},,,,,,,,,,
What's {charles|name}s {role|position},,,,,,,,,,
what's {bonalyn|name}'s' {gender|sex},,,,,,,,,,
{sean quinn|name} {job|position},,,,,,,,,,
{caitrin|name} {position|position},,,,,,,,,,
what is {Jeremiah Semizoglou|name}'s {dept|department}?,,,,,,,,,,
{Kelley Spirea|name} {gender|sex},,,,,,,,,,
{employment status|employment_status} of {Mike|name},,,,,,,,,,
{Violeta Ferreira|name}'s {race|racedesc},,,,,,,,,,
{Carlos|name} {state|state},,,,,,,,,,
{megan|name}'s {status of employment|employment_status},,,,,,,,,,
